Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects
23.0,Spotify,2.0,False,False,False,Rock,True,True,120.0,0,0,0,0,0,2,0,2,0,0,3,3,0,2,3,2,7.0,8.0,5.0,1.0,1
19.0,Apple Music,3.0,True,False,False,Rock,True,True,126.0,0,2,2,0,0,3,0,0,0,1,1,1,1,2,3,2,5.0,2.0,8.0,6.0,0
17.0,Spotify,2.0,True,True,True,Hip hop,True,True,122.0,1,0,2,2,0,3,2,1,1,1,3,1,1,3,3,0,10.0,7.0,4.0,2.0,0
21.0,YouTube Music,1.0,False,False,False,Rock,True,False,179.0,0,1,0,1,0,2,1,0,0,3,2,1,2,2,3,1,6.0,5.0,0.0,0.0,1
29.0,Other,5.0,True,False,False,Jazz,True,True,200.0,1,0,0,1,0,0,3,0,1,1,1,0,2,0,3,2,7.0,2.0,3.0,1.0,0
22.0,Spotify,10.0,False,True,True,EDM,False,True,128.0,2,2,3,3,0,0,1,0,0,0,1,0,1,0,2,2,4.0,7.0,7.0,3.0,0
18.0,Spotify,4.0,True,True,True,Pop,True,True,130.0,2,1,2,1,0,1,2,2,2,2,3,3,1,1,3,3,4.0,5.0,6.0,5.0,0
13.0,Spotify,2.0,True,True,True,Rock,True,False,120.0,1,0,2,3,1,2,0,0,0,2,2,3,1,3,3,3,7.0,10.0,5.0,6.0,2
24.0,Spotify,1.0,False,False,False,Metal,True,False,86.0,2,0,1,1,0,1,0,0,0,0,3,2,2,2,3,1,6.0,4.0,5.0,0.0,0
35.0,Spotify,6.0,True,False,False,Rock,True,True,166.0,2,1,2,3,0,1,2,1,1,2,2,2,1,1,3,2,4.0,1.0,3.0,1.0,1
29.0,YouTube Music,1.0,True,True,False,Video game music,True,False,110.0,2,0,0,1,2,0,1,0,0,0,0,2,1,0,2,2,6.0,6.0,1.0,2.0,0
28.0,Spotify,6.0,True,False,False,Rock,False,False,144.0,2,1,0,2,0,1,1,0,1,1,2,2,2,1,3,3,10.0,8.0,7.0,1.0,0
32.0,Spotify,7.0,True,False,False,Pop,True,True,120.0,2,0,1,0,0,2,1,0,0,1,1,3,3,3,3,3,10.0,8.0,2.0,8.0,0
32.0,Other,1.0,False,False,False,EDM,True,False,120.0,1,0,3,1,1,2,1,0,1,1,0,2,1,1,1,0,3.0,6.0,2.0,0.0,1
21.0,Spotify,3.0,True,True,False,Rock,True,False,160.0,0,0,0,3,0,2,0,0,0,2,3,1,0,1,3,2,8.0,9.0,2.0,0.0,0
18.0,Spotify,2.0,True,True,False,Video game music,False,True,101.0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,2,3,8.0,3.0,8.0,7.0,0
19.0,Spotify,3.0,True,True,False,Classical,True,False,122.0,3,1,0,0,0,0,0,1,0,2,0,3,0,0,1,2,3.0,3.0,1.0,2.0,0
18.0,Apple Music,2.0,True,True,False,Pop,True,True,120.0,1,1,0,0,0,1,0,3,1,1,1,3,1,1,1,0,6.0,5.0,2.0,0.0,0
16.0,YouTube Music,3.0,True,False,True,Pop,False,False,120.0,1,2,2,0,0,1,0,2,0,2,0,3,0,1,3,1,0.0,0.0,4.0,0.0,1
25.0,Spotify,1.5,True,False,False,Pop,False,False,61.0,2,1,1,2,0,1,0,0,0,1,1,3,3,1,3,0,6.0,5.0,0.0,2.0,0
17.0,Spotify,4.0,True,False,False,Lofi,True,True,79.0,3,0,0,0,2,2,1,2,0,3,0,3,2,2,1,3,3.0,8.0,0.0,0.0,0
16.0,Spotify,2.0,True,False,False,Rap,True,True,126.0,3,0,0,0,0,3,0,2,0,1,0,3,3,3,0,2,1.0,8.0,0.0,0.0,1
27.0,Spotify,10.0,True,False,False,Metal,True,True,185.0,2,0,2,0,0,2,1,0,0,1,3,3,1,2,3,1,5.0,6.0,6.0,3.0,0
53.0,Spotify,7.0,True,False,False,Pop,True,True,92.0,3,2,3,1,1,2,2,1,2,1,1,3,3,1,3,1,0.0,0.0,0.0,0.0,0
25.0,Spotify,1.0,True,False,False,EDM,False,False,107.0,0,0,3,0,0,1,0,1,0,1,0,0,0,0,1,1,0.0,8.0,0.0,0.0,0
34.0,Spotify,2.0,False,False,False,Metal,False,False,120.0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,2,0,3.0,7.0,0.0,0.0,0
22.0,Other,6.0,True,True,True,Jazz,True,True,140.0,2,1,3,3,1,3,3,1,2,2,2,3,3,3,2,2,8.0,8.0,8.0,5.0,0
17.0,Spotify,2.0,True,True,True,Jazz,True,False,94.0,2,0,0,0,0,1,2,0,0,1,2,3,0,1,3,1,5.0,2.0,3.0,4.0,0
26.0,Spotify,3.0,True,True,False,Folk,True,False,160.0,1,1,0,3,1,1,2,0,0,1,1,2,2,1,2,2,8.0,8.0,3.0,0.0,0
19.0,Spotify,8.0,True,False,False,EDM,True,False,174.0,0,0,3,0,0,2,0,1,0,0,1,2,2,2,2,0,6.0,8.0,8.0,0.0,0
21.0,Spotify,3.0,True,False,False,Pop,True,True,136.0,1,3,2,1,0,3,1,0,3,2,1,3,3,3,2,2,6.0,8.0,6.0,0.0,2
32.0,Spotify,3.0,True,True,True,Rock,True,True,144.0,1,1,2,3,0,2,1,0,2,3,1,2,3,1,3,1,6.0,6.0,7.0,5.0,0
21.0,No Streaming Service,3.0,True,False,False,Rock,False,False,77.0,0,0,0,2,2,2,2,0,1,0,1,1,1,2,3,3,9.0,10.0,3.0,0.0,1
25.0,Spotify,2.0,False,True,False,Pop,False,False,120.0,1,0,0,1,0,2,0,0,2,0,0,3,2,3,3,1,7.0,7.0,5.0,0.0,0
26.0,Spotify,1.0,False,False,False,Rock,False,False,120.0,1,0,1,1,0,1,1,0,0,1,2,2,1,2,3,0,10.0,7.0,2.0,8.0,1
21.0,Spotify,2.0,True,True,False,Metal,True,True,120.0,1,0,0,2,0,1,0,0,0,1,3,1,0,1,3,2,1.0,3.0,0.0,6.0,1
